"Semi-major Axis (m)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","Mean Anomaly (deg)"
6978137.000,0.000000,45.003,359.884,0.000,257.757
6978137.000,0.000000,45.003,359.884,0.000,294.990
6978137.000,0.000000,45.003,359.884,0.000,332.224
6978137.000,0.000000,45.003,359.884,0.000,9.457
6978137.000,0.000000,45.003,359.884,0.000,46.691
6978137.000,0.000000,45.003,359.884,0.000,83.924
6978137.000,0.000000,45.003,359.884,0.000,121.157
6978137.000,0.000000,45.003,359.884,0.000,158.391
6978137.000,0.000000,45.003,359.884,0.000,195.624
6978137.000,0.000000,45.003,359.884,0.000,232.858
6978137.000,0.000000,45.003,359.884,0.000,270.091
6978137.000,0.000000,45.003,359.884,0.000,307.325
6978137.000,0.000000,45.003,359.884,0.000,344.558
6978137.000,0.000000,45.003,359.884,0.000,21.792
6978137.000,0.000000,45.003,359.884,0.000,59.025
6978137.000,0.000000,45.003,359.884,0.000,96.259
6978137.000,0.000000,45.003,359.884,0.000,133.492
6978137.000,0.000000,45.003,359.884,0.000,170.726
6978137.000,0.000000,45.003,359.884,0.000,207.959
6978137.000,0.000000,45.003,359.884,0.000,245.193
6978137.000,0.000000,45.003,359.884,0.000,282.426
6978137.000,0.000000,45.003,359.884,0.000,319.660
6978137.000,0.000000,45.003,359.884,0.000,356.893
6978137.000,0.000000,45.003,359.884,0.000,34.127
6978137.000,0.000000,45.003,359.884,0.000,71.360
6978137.000,0.000000,45.003,359.884,0.000,108.593
6978137.000,0.000000,45.003,359.884,0.000,145.827
6978137.000,0.000000,45.003,359.884,0.000,183.060
6978137.000,0.000000,45.003,359.884,0.000,220.294
6978137.000,0.000000,45.003,359.884,0.000,257.527
6978137.000,0.000000,45.003,359.884,0.000,294.761
6978137.000,0.000000,45.003,359.884,0.000,331.994
6978137.000,0.000000,45.003,359.884,0.000,9.228
6978137.000,0.000000,45.003,359.884,0.000,46.461
6978137.000,0.000000,45.003,359.884,0.000,83.695
6978137.000,0.000000,45.003,359.884,0.000,120.928
6978137.000,0.000000,45.003,359.884,0.000,158.162
6978137.000,0.000000,45.003,359.884,0.000,195.395
6978137.000,0.000000,45.003,359.884,0.000,232.629
6978137.000,0.000000,45.003,359.884,0.000,269.862
6978137.000,0.000000,45.003,359.884,0.000,307.096
6978137.000,0.000000,45.003,359.884,0.000,344.329
6978137.000,0.000000,45.003,359.884,0.000,21.562
6978137.000,0.000000,45.003,359.884,0.000,58.796
6978137.000,0.000000,45.003,359.884,0.000,96.029
6978137.000,0.000000,45.003,359.884,0.000,133.263
6978137.000,0.000000,45.003,359.884,0.000,170.496
6978137.000,0.000000,45.003,359.884,0.000,207.730
6978137.000,0.000000,45.003,359.884,0.000,244.963
6978137.000,0.000000,45.003,359.884,0.000,282.197
6978137.000,0.000000,45.003,359.884,0.000,319.430
6978137.000,0.000000,45.003,359.884,0.000,356.664
6978137.000,0.000000,45.003,359.884,0.000,33.897
6978137.000,0.000000,45.003,359.884,0.000,71.131
6978137.000,0.000000,45.003,359.884,0.000,108.364
6978137.000,0.000000,45.003,359.884,0.000,145.598
6978137.000,0.000000,45.003,359.884,0.000,182.831
6978137.000,0.000000,45.003,359.884,0.000,220.065
6978137.000,0.000000,45.003,359.884,0.000,257.298
6978137.000,0.000000,45.003,359.884,0.000,294.531
6978137.000,0.000000,45.003,359.884,0.000,331.765
6978137.000,0.000000,45.003,359.884,0.000,8.998
6978137.000,0.000000,45.003,359.884,0.000,46.232
6978137.000,0.000000,45.003,359.884,0.000,83.465
6978137.000,0.000000,45.003,359.884,0.000,120.699
6978137.000,0.000000,45.003,359.884,0.000,157.932
6978137.000,0.000000,45.003,359.884,0.000,195.166
6978137.000,0.000000,45.003,359.884,0.000,232.399
6978137.000,0.000000,45.003,359.884,0.000,269.633
6978137.000,0.000000,45.003,359.884,0.000,306.866
6978137.000,0.000000,45.003,359.884,0.000,344.100
6978137.000,0.000000,45.003,359.884,0.000,21.333
6978137.000,0.000000,45.003,359.884,0.000,58.567
6978137.000,0.000000,45.003,359.884,0.000,95.800
6978137.000,0.000000,45.003,359.884,0.000,133.034
6978137.000,0.000000,45.003,359.884,0.000,170.267
