"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
255,-49.422183,285.365854,0.000000,47734.869021,2.031233,2.926829
256,-49.422183,288.292683,0.000000,47734.869021,2.031233,2.926829
257,-47.390950,288.292683,0.000000,49692.183355,2.031233,2.926829
258,-45.359717,288.292683,0.000000,51588.022571,2.031233,2.926829
259,-49.422183,291.219512,0.000000,47734.869021,2.031233,2.926829
260,-47.390950,291.219512,0.000000,49692.183355,2.031233,2.926829
261,-47.390950,294.146341,0.000000,49692.183355,2.031233,2.926829
262,-45.359717,291.219512,0.000000,51588.022571,2.031233,2.926829
263,-41.297250,145.333333,0.000000,50280.093824,2.031233,2.666667
264,-41.297250,148.000000,0.000000,50280.093824,2.031233,2.666667
265,-43.328483,172.000000,0.000000,48671.480257,2.031233,2.666667
266,-41.297250,174.666667,0.000000,50280.093824,2.031233,2.666667
267,-39.266017,174.666667,0.000000,51826.143548,2.031233,2.666667
268,-41.297250,286.666667,0.000000,50280.093824,2.031233,2.666667
269,-43.328483,289.333333,0.000000,48671.480257,2.031233,2.666667
270,-43.328483,292.000000,0.000000,48671.480257,2.031233,2.666667
271,-43.328483,294.666667,0.000000,48671.480257,2.031233,2.666667
272,-41.297250,289.333333,0.000000,50280.093824,2.031233,2.666667
273,-41.297250,292.000000,0.000000,50280.093824,2.031233,2.666667
274,-41.297250,294.666667,0.000000,50280.093824,2.031233,2.666667
275,-39.266017,289.333333,0.000000,51826.143548,2.031233,2.666667
276,-39.266017,292.000000,0.000000,51826.143548,2.031233,2.666667
277,-39.266017,294.666667,0.000000,51826.143548,2.031233,2.666667
278,-39.266017,297.333333,0.000000,51826.143548,2.031233,2.666667
279,-33.172317,18.367347,0.000000,51491.782886,2.031233,2.448980
280,-33.172317,20.816327,0.000000,51491.782886,2.031233,2.448980
281,-33.172317,23.265306,0.000000,51491.782886,2.031233,2.448980
282,-33.172317,25.714286,0.000000,51491.782886,2.031233,2.448980
